Trait,N samples,GWAS Catalog Accession Number
CD39 on CD39+ CD8br ,2915,GCST90002029
CD39 on CD39+ activated Treg ,2920,GCST90002030
CD39 on CD39+ secreting Treg   ,2920,GCST90002031
CD39 on CD39+ CD4+  ,2920,GCST90002032
CD39 on granulocyte  ,2920,GCST90002033
CD39 on monocyte  ,2909,GCST90002034
CD80 on myeloid DC ,2871,GCST90002035
CD80 on CD62L+ myeloid DC,2871,GCST90002036
CD80 on plasmacytoid DC,2871,GCST90002037
CD80 on CD62L+ plasmacytoid DC,2871,GCST90002038
CD80 on monocyte,2850,GCST90002039
CD80 on granulocyte,2850,GCST90002040
CD45 on lymphocyte ,1635,GCST90002041
CD45 on CD33br HLA DR+ CD14-  ,1579,GCST90002042
CD45 on CD33br HLA DR+ CD14dim  ,1578,GCST90002043
CD45 on CD33dim HLA DR+ CD11b-  ,1635,GCST90002044
CD45 on CD33- HLA DR- ,1635,GCST90002045
CD45 on CD33- HLA DR+  ,1635,GCST90002046
CD45 on Gr MDSC ,1244,GCST90002047
CD45 on CD66b++ myelod cell  ,1465,GCST90002048
CD45 on Mo MDSC  ,1570,GCST90002049
CD45 on CD33dim HLA DR- ,1559,GCST90002050
CD45 on basophil,1556,GCST90002051
CD45 on Im MDSC  ,1555,GCST90002052
CD45 on CD33br HLA DR+  ,1580,GCST90002053
CD8 on CM CD8br ,2910,GCST90002054
CD8 on naive CD8br,2910,GCST90002055
CD8 on EM CD8br  ,2912,GCST90002056
CD8 on TD CD8br,2911,GCST90002057
CD8 on  CD8br,3113,GCST90002058
CD8 on NKT,3103,GCST90002059
CD8 on HLA DR+ CD8br,3060,GCST90002060
CD4 on CD39+ CD4+   ,2920,GCST90002061
CD4 on CD28+ CD4+  ,2920,GCST90002062
CD4 on CD4 Treg,2920,GCST90002063
CD4 on resting Treg ,2919,GCST90002064
CD4 on CD39+ resting Treg ,2650,GCST90002065
CD4 on activated Treg ,2920,GCST90002066
CD4 on CD39+ activated Treg ,2920,GCST90002067
CD4 on secreting Treg  ,2920,GCST90002068
CD4 on CD39+ secreting Treg ,2920,GCST90002069
CD4 on activated & secreting Treg  ,2920,GCST90002070
SSC-A on myeloid DC ,2872,GCST90002071
SSC-A on plasmacytoid DC,2872,GCST90002072
SSC-A on monocyte,2850,GCST90002073
SSC-A on CD14+ monocyte,3112,GCST90002074
SSC-A on B cell,3112,GCST90002075
SSC-A on NK,3113,GCST90002076
SSC-A on HLA DR+ NK,2971,GCST90002077
SSC-A on granulocyte,3112,GCST90002078
SSC-A on lymphocyte,3113,GCST90002079
SSC-A on T cell,3113,GCST90002080
SSC-A on CD4+,3113,GCST90002081
SSC-A on CD8br,3113,GCST90002082
SSC-A on HLA DR+ T cell,3060,GCST90002083
SSC-A on NKT ,3113,GCST90002084
SSC-A on HLA DR+ CD4+,3060,GCST90002085
SSC-A on HLA DR+ CD8br,3060,GCST90002086
CD11c on myeloid DC,2872,GCST90002087
CD11c on CD62L+ myeloid DC,2872,GCST90002088
CD11c on monocyte ,2850,GCST90002089
CD11c on granulocyte ,2850,GCST90002090
CD11b on CD14+ monocyte,1635,GCST90002091
CD11b on Gr MDSC  ,1244,GCST90002092
CD11b on CD66b++ myeloid cell  ,1465,GCST90002093
CD11b on Mo MDSC ,1570,GCST90002094
CD11b on CD33dim HLA DR-  ,1559,GCST90002095
CD11b on basophil,1556,GCST90002096
CD11b on CD33br HLA DR+ CD14dim  ,1578,GCST90002097
CD45RA on naive CD4+ ,2910,GCST90002098
CD4RA on TD CD4+ ,2903,GCST90002099
CD45RA on naive CD8br,2910,GCST90002100
CD45RA on TD CD8br,2911,GCST90002101
CD45RA on resting Treg ,2919,GCST90002102
CD45RA on CD39+ resting Treg ,2650,GCST90002103
HLA DR on myeloid DC,2872,GCST90002104
HLA DR on plasmacytoid DC,2872,GCST90002105
HLA DR on DC,2871,GCST90002106
HLA DR on HSC,1634,GCST90002107
HLA DR on CD33br HLA DR+ CD14- ,1579,GCST90002108
HLA DR on CD33br HLA DR+ CD14dim ,1578,GCST90002109
HLA DR on CD33dim HLA DR+ CD11b+ ,1634,GCST90002110
HLA DR on CD33dim HLA DR+ CD11b- ,1635,GCST90002111
HLA DR on CD33- HLA DR+ ,1635,GCST90002112
HLA DR on  HLA DR+ T cell,3060,GCST90002113
HLA DR on  HLA DR+ CD4+,3060,GCST90002114
HLA DR on  HLA DR+ CD8br,3060,GCST90002115
HLA DR on B cell,3060,GCST90002116
HLA DR on HLA DR+ NK  ,2971,GCST90002117
CD8 on CD28+ CD45RA- CD8br  ,2920,GCST90002118
CD8 on CD28+ CD45RA+ CD8br ,2920,GCST90002119
CD8 on CD28- CD8br ,2920,GCST90002120
CD8 on CD39+ CD8br ,2915,GCST90002121
